Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CTXFh5o4qpiXZeM1jxTBk,Zee3,Star,Wingii;ZIAD ZAZA,2022-09-13,161142,38,true,,2025-10-12T01:06:57Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Maadi Town Mafia,0.669,0.623,8,-8.998,1,0.32,0.413,0,0.262,0.534,143.963,4
spotify:track:13CV3gU68sljNILYjjaIBR,Khamsa,Star,Wingii;FL EX,2022-09-13,138857,48,false,,2025-10-12T01:05:26Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Maadi Town Mafia,0.805,0.666,7,-10.741,1,0.36,0.3,0.00000529,0.613,0.502,142.974,4
spotify:track:4WKcS5bpZNwg31wcGpO2o0,فيدا لوكا - Vida Loca,مانجيستو (Mangesto),Wingii,2023-08-25,119629,35,false,,2025-10-12T01:05:14Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Sony Music Entertainment,0.734,0.598,10,-10.951,0,0.181,0.56,0.00102,0.127,0.469,144.991,4
spotify:track:6Ko6eF0dtw3v8Ab1GAe5J3,SHAMROUKH,SHAMROUKH,ZIAD ZAZA;Donia Wael;Ismail Nosrat,2023-12-15,122142,37,false,,2025-10-12T01:00:00Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Sony Music Entertainment,0.661,0.863,4,-6.154,0,0.26,0.083,0.000149,0.223,0.307,139.975,4
spotify:track:71IEJimDjBACxgZKRCDc1D,Leh Betaeday2,Leh Betaeday2,El Waili;ZIAD ZAZA,2022-12-26,139634,20,false,,2025-10-12T00:58:55Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",WRST Distribution,0.737,0.54,2,-8.037,1,0.125,0.685,0.00148,0.208,0.149,125.055,4
spotify:track:1KEEwjNBFWkmjvcJWNWvb1,3ALWAD3,3ALWAD3,ZIAD ZAZA,2022-07-08,161977,22,false,,2025-10-12T00:55:59Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Global,0.432,0.666,8,-8.955,1,0.306,0.624,0.00000145,0.13,0.481,140.786,4
spotify:track:1sX97oH0899b9NiUO5uPBN,Bent El Eh,Bent El Eh,ZIAD ZAZA;5mstashr,2024-02-13,214588,46,false,,2025-10-12T00:54:11Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Global,0.644,0.547,2,-5.571,0,0.0421,0.44,0.00227,0.264,0.263,84.994,4
spotify:track:4iM0g2we2znyoPBSKHR2Be,EZNAB,El Rayes,ZIAD ZAZA,2022-11-18,171428,23,false,,2025-10-12T00:53:05Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Global,0.473,0.743,11,-8.89,0,0.159,0.0958,0.00243,0.25,0.447,139.523,4
spotify:track:46yaGCf8xqfScDoqmwDfzv,7een Maysara - Remix,7een Maysara,Molotof;Marwan Pablo,2022-05-17,195692,47,true,,2025-10-10T23:33:14Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Molotof,0.764,0.459,5,-9.698,0,0.0349,0.433,0.00552,0.0939,0.24,129.972,4
spotify:track:7B5bU1o9ReQz0J8R7y8FYh,7een Maysara,7een Maysara,Molotof,2022-05-17,192000,36,true,,2025-10-10T23:33:13Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Molotof,0.662,0.745,0,-7.906,1,0.0332,0.0387,0.36,0.111,0.404,129.972,4
